parameter,value,estimate
nClasses,1,false
TravelCost,-0.187494471683148,true
Car_Trip_Class0,-3.48161017310742,true
Transit_Trip_Class0,-3.64888036323632,true
Bike_Trip_Class0,-4.34132791923982,true
Walk_Trip_Class0,-2.30592813191583,true
Car_TravelTime_Class0,-0.126300190278531,true
Transit_TravelTime_Class0,-0.0740296453978482,true
Bike_TravelTime_Class0,-0.089087797454178,true
Walk_TravelTime_Class0,-0.0832721883546832,true
Transit_WaitTime_Class0,-0.0754721456921498,true
Shop_LogEmp_Class0,0.50715718743074,true
Shop_Start_Class0,-11.2789920385441,true
Shop_Continue_Class0,-0.0726467933865061,true
Other_LogPop_Class0,0.0781263136416039,true
Other_Start_Class0,-7.88200640996755,true
Other_Continue_Class0,-0.047855483452127,true
Home_Continue_Class0_5,0,false
Home_Continue_Class0_8,-0.042923532,false
Home_Continue_Class0_11,-0.048996127,false
Home_Continue_Class0_14,-0.052197995,false
Home_Continue_Class0_17,-0.046585417,false
Home_Continue_Class0_20,-0.033154021,false
Home_Continue_Class0_23,-0.049740405,false
Work_Continue_Class0_0,-0.01402297,false
Work_Continue_Class0_3,-0.047074802,false
Work_Continue_Class0_6,-0.028082881,false
Work_Continue_Class0_9,-0.042255002,false
Work_Continue_Class0_12,-0.066767509,false
Work_Start_Class0_5,-2.609999249,false
Work_Start_Class0_8,-2.890931239,false
Work_Start_Class0_11,-6.026207609,false
Work_Start_Class0_14,-4.550247038,false
Work_Start_Class0_17,-5.149654414,false
Work_Start_Class0_20,-7.016325285,false
