parameter,value,estimate
Cost,-0.03408,TRUE
Car_TravelTime,-0.73026,TRUE
Transit_TravelTime,-0.57041,TRUE
Active_TravelTime,-1.02903,TRUE
Car_Trip,-2.78787,TRUE
Transit_Trip,-4.979,TRUE
Bike_Trip,-4.5191,TRUE
Walk_Trip,-2.26289,TRUE
Shop_LogEmp,0.55209,TRUE
Shop_Start,-9.62722,TRUE
Shop_Continue,-0.62821,TRUE
Other_LogPop,0.2315,TRUE
Other_Start,-7.35844,TRUE
Other_Continue,-0.53481,TRUE
Home_Continue_5,0,FALSE
Home_Continue_8,-0.50139,TRUE
Home_Continue_11,-0.51416,TRUE
Home_Continue_14,-0.58603,TRUE
Home_Continue_17,-0.46293,TRUE
Home_Continue_20,-0.38521,TRUE
Home_Continue_23,-0.14247,TRUE
Work_Continue,-0.4434,TRUE
Work_Start_5,-1.84089,TRUE
Work_Start_8,-1.83494,TRUE
Work_Start_11,-5.41152,TRUE
Work_Start_14,-2.75913,TRUE
Work_Start_17,-3.14931,TRUE
Work_Start_20,-100,FALSE
Work_Start_23,-100,FALSE
