IndID,Activity,Mode,Origin,Destination,DepartureTime
78814,Other,Transit,484,441,08:30:00
78814,Home,Transit,441,484,15:15:00
65185,Other,Transit,947,718,17:30:00
65185,Home,Transit,718,947,19:30:00
52144,Work,Transit,756,447,06:30:00
52144,Home,Transit,447,756,16:40:00
92296,Home,Car,1024,1024,14:15:00
92296,Other,Car,1024,1023,18:45:00
92296,Home,Car,1023,1024,20:00:00
30220,Work,Car,505,536,07:00:00
30220,Home,Car,536,505,17:00:00
31711,Work,Car,255,760,06:20:00
31711,Other,Car,760,288,16:25:00
31711,Home,Car,288,255,19:40:00
5923,Work,Transit,218,131,09:00:00
5923,Home,Transit,131,218,15:10:00
79276,Other,Walk,1260,1258,08:05:00
79276,Work,Transit,1258,1224,08:35:00
79276,Home,Transit,1224,1260,17:05:00
69763,Other,Car,465,465,07:42:00
69763,Shop,Car,465,476,08:40:00
69763,Home,Car,476,465,09:40:00
69763,Other,Car,465,465,13:27:00
69763,Home,Car,465,465,13:40:00
69763,Other,Car,465,1267,18:00:00
69763,Home,Car,1267,465,20:30:00
129130,Other,Car,739,738,09:20:00
129130,Home,Car,738,739,10:15:00
53698,Work,Transit,668,301,07:23:00
53698,Home,Transit,301,668,15:30:00
20224,Work,Walk,344,344,07:10:00
20224,Home,Walk,344,344,16:05:00
24004,Other,Bike,356,359,08:35:00
24004,Home,Bike,359,356,09:05:00
24004,Other,Walk,356,359,14:15:00
24004,Shop,Transit,359,356,14:35:00
24004,Home,Walk,356,356,15:30:00
36226,Other,Bike,773,832,07:05:00
36226,Work,Bike,832,796,08:30:00
36226,Home,Bike,796,773,17:50:00
45151,Work,Car,857,1314,14:30:00
45151,Shop,Car,1314,897,18:30:00
45151,Home,Car,897,857,19:30:00
11173,Other,Transit,618,1215,08:19:00
11173,Home,Transit,1215,618,16:50:00
37885,Work,Transit,322,1225,06:10:00
37885,Home,Transit,1225,322,15:00:00
79402,Other,Car,924,914,07:30:00
79402,Work,Car,914,942,07:55:00
79402,Other,Car,942,914,17:15:00
79402,Home,Car,914,924,17:40:00
79402,Shop,Walk,924,923,19:00:00
79402,Home,Walk,923,924,19:30:00
3214,Work,Transit,907,52,06:40:00
3214,Other,Transit,52,899,15:05:00
3214,Other,Walk,899,898,17:15:00
3214,Home,Walk,898,907,17:50:00
83707,Other,Transit,1188,975,07:05:00
83707,Home,Transit,975,1188,15:10:00
83707,Other,Car,1188,1167,17:15:00
83707,Home,Car,1167,1188,17:30:00
83707,Other,Bike,1188,1164,18:20:00
83707,Home,Bike,1164,1188,20:00:00
21379,Other,Walk,556,558,13:45:00
21379,Other,Car,558,584,16:40:00
21379,Home,Car,584,556,17:05:00
114703,Shop,Car,447,449,22:05:00
114703,Home,Car,449,447,22:10:00
64114,Other,Car,875,875,07:45:00
64114,Work,Car,875,607,08:00:00
64114,Other,Car,607,861,17:15:00
64114,Home,Car,861,875,19:05:00
23458,Work,Car,269,261,07:30:00
23458,Home,Car,261,269,16:10:00
44374,Other,Car,831,213,07:30:00
44374,Work,Car,213,803,08:55:00
44374,Other,Car,803,792,11:00:00
44374,Work,Car,792,803,11:50:00
44374,Other,Car,803,775,13:45:00
44374,Home,Car,775,831,16:00:00
28288,Work,Transit,385,1339,07:15:00
28288,Home,Transit,1339,385,15:40:00
58528,Work,Car,877,894,07:00:00
58528,Home,Transit,894,877,19:30:00
115900,Work,Walk,1287,975,07:50:00
115900,Home,Walk,975,1287,17:30:00
98281,Other,Walk,140,121,06:30:00
98281,Other,Transit,121,573,08:30:00
98281,Shop,Transit,573,469,15:06:00
98281,Home,Car,469,140,17:45:00
101494,Other,Transit,691,669,11:50:00
101494,Home,Transit,669,691,15:00:00
18376,Other,Bike,1324,1322,08:40:00
18376,Work,Bike,1322,1323,09:00:00
18376,Shop,Bike,1323,1322,17:30:00
18376,Home,Bike,1322,1324,18:00:00
126736,Other,Car,868,844,11:00:00
126736,Home,Car,844,868,12:15:00
19804,Shop,Car,532,531,10:00:00
19804,Home,Car,531,532,10:40:00
19804,Other,Walk,532,531,17:40:00
19804,Home,Walk,531,532,20:00:00
97735,Shop,Walk,1054,1081,11:30:00
97735,Home,Walk,1081,1054,11:45:00
97735,Other,Walk,1054,1054,15:40:00
97735,Home,Walk,1054,1054,15:55:00
125371,Work,Transit,1245,891,10:55:00
